Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Aarakocra,Medium,Humanoid,NG,12,13,"20, 50 fly",10,14,10,11,12,11,None,Perception,None,Normal,Auran,0.25,Dive Attack,Monster Manual,,Wizards of the Coast
Aboleth,Large,Aberration,LE,17,135,"10, swim 40",21,9,15,18,15,18,"CON, INT, WIS","History, Perception",None,Darkvision 120,"Deep Speech, Telepathy 120",10.00,"Amphibious,  Mucous Cloud, Probing Telepathy, Legendary, Lair",Monster Manual,,Wizards of the Coast
Albino Dwarf Warrior,Medium,Humanoid (Dwarf),ANY,13,30,25,13,13,17,12,14,11,None,"Perception, Stealth, Survival",Poisonres,Darkvision 60,"Common, Dwarvish",0.25,Dwarven Resilience,Tomb of Annihilation,,Wizards of the Coast
Aldani (Lobsterfolk),Medium,Monstrosity,LN,14,49,"20, swim 30",13,8,12,10,14,10,None,"Perception, Survival",None,Darkvision 60,Common,1.00,Amphibious,Tomb of Annihilation,,Wizards of the Coast
Allip,Medium,Undead,NE,13,40,fly 40,6,17,10,17,15,16,"INT, WIS","Perception, Stealth","Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,5.00,Incorporeal Movement,Mordenkainen's Tome of Foes,,Wizards of the Coast
Almiraj,Small,Beast,U,13,3,50,2,16,10,2,14,10,None,"Perception, Stealth",None,"Darkvision 30, tremorsense 60",None,0.00,"Keen Hearing, Keen Sight",Tomb of Annihilation,,Wizards of the Coast
Ambush Drake,Medium,Dragon,U,13,22,30,13,15,14,4,11,6,None,"Perception, Stealth",Poisonres,Darkvision 60,Draconic,0.50,"Pack Tactics, Surprise Attack",Hoard of the Dragon Queen,,Wizards of the Coast
"Angel, Deva",Medium,Celestial,LG,17,136,"30, 90 fly",18,18,18,17,20,20,"WIS, CHA","Insight, Perception","Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",Darkvision 120,"All, Telepathy 120",10.00,"Angelic Weapons, Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Angel, Planetar",Large,Celestial,LG,19,200,"40, 120 fly",24,20,24,19,22,25,"CON, WIS, CHA",Perception,"Radiantres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu",Truesight 120,"All, telepathy 120",16.00,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance",Monster Manual,,Wizards of the Coast
"Angel, Solar",Large,Celestial,LG,21,243,"50, 150 fly",26,22,26,25,25,30,"INT, WIS, CHA",Perception,"Radiantres, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonimmu",Truesight 120,"All, telepathy 120",21.00,"Angelic Weapons, Divine Awareness, Innate Spellcasting, Magic Resistance, Legendary",Monster Manual,,Wizards of the Coast
"Animated Object, Armor",Medium,Construct,U,18,33,25,14,11,13,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,1.00,"Antimagic, False",Monster Manual,,Wizards of the Coast
"Animated Object, Broom of Attack",Small,Construct,U,15,17,50 fly,10,17,10,1,5,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu, proneimmu",Blindsight 30,None,0.25,"False, None",Curse of Strahd,,Wizards of the Coast
"Animated Object, Flying Sword",Small,Construct,U,17,17,50 fly,12,15,11,1,5,1,DEX,None,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,0.25,"Antimagic, False",Monster Manual,,Wizards of the Coast
"Animated Object, Rug of Smothering",Large,Construct,U,12,33,10,17,14,10,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,2.00,"Antimagic, Damage Transfer, False",Monster Manual,,Wizards of the Coast
"Animated Object, Table",Large,Construct,U,15,39,40,18,8,13,1,3,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Blindsight 60,None,2.00,"Antimagic Susceptibility, False Appearance, Charge",Tales from the Yawning Portal,,Wizards of the Coast
Ankheg,Large,Monstrosity,U,14,39,"30, 10 burrow",17,11,13,1,13,6,None,None,None,"Darkvision 60, tremorsense 60",None,2.00,None,Monster Manual,,Wizards of the Coast
Assassin Vine,Large,Plant,U,13,85,"5, climb 5",18,10,16,1,10,1,None,None,"Coldres, fireres, blindedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 30,None,3.00,False Appearance,Tomb of Annihilation,,Wizards of the Coast
"Assorted Beast, Aurochs",Large,Beast,U,11,38,50,20,10,19,2,12,5,None,None,None,Normal,None,2.00,Charge,Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Cattle",Large,Beast,U,10,15,30,18,10,14,2,10,4,None,None,None,Normal,None,0.25,Charge,Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Dolphin",Medium,Beast,U,12,11,swim 60,14,13,13,6,12,7,None,Perception,None,Blindsight 60,None,0.13,"Charge, Hold Breath",Volo's Guide to Monsters,,Wizards of the Coast
"Assorted Beast, Swarm of Rot Grubs",Medium,Beast ,U,8,22,"5, climb 5",2,7,10,1,2,1,None,None,"Piercingres, slashingres, charmedimmu, frightenedimmu grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu",Blindsight 10,None,0.50,Swarm,Volo's Guide to Monsters,,Wizards of the Coast
Astral Dreadnought,Gargantuan,Monstrosity,U,20,297,"15, fly 80",28,7,25,5,14,18,"DEX, WIS",Perception,"Nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, stunnedimmu",Darkvision 120,None,21.00,"Antimagic Cone, Astral Entity, Demiplanar Donjon, Legendary, Magic Weapons, Sever Silver Cord",Mordenkainen's Tome of Foes,,Wizards of the Coast
Atropal,Huge,Undead (Titan),NE,7,225,fly 50,19,5,22,25,19,24,"CON, WIS",None,"Radiantweak, coldimmu, necroticimmu, nonmagicalimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu","Darkvision 120, truesight 120",Celestial,13.00,"Magic Resistance, Negative Energy Aura, Turn Resistance Aura, Legendary",Tomb of Annihilation,,Wizards of the Coast
Avatar of Death,Medium,Undead,NE,20,VARIES,"60, fly 60",16,16,16,16,16,16,None,None,"Necroticimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, truesight 60",Creator,VARIES,"Incorporeal Movement, Turning Immunity",Dungeon Master's Guide,,Wizards of the Coast
Awakened Zurkhwood,Huge,Plant,U,13,59,20,19,6,15,10,10,7,None,None,"Fireweak, bludgeoningres, piercingres",Normal,Any,2.00,False Appearance,Out of the Abyss,,Wizards of the Coast
